X1	X2	Y
4	3.7	6
5	3.7	6
5	3.7	6
4	3.7	6
6	4.7	7
4	3.7	5
3	4.7	4
3	4.7	5
5	3.7	6
5	4.7	9
3	1.7	5
4	4.7	5
4	2.7	9
5	5.7	7
4	3.7	6
5	3.7	4
4	4.7	5
4	3.7	5
4	2.7	4
4	4.7	6
4	4.7	7
4	3.7	6
4	3.7	6
4	3.7	3
4	5.7	8
3	3.7	6
4	3.7	3
3	3.7	6
4	3.7	5
4	4.7	6
4	2.7	8
3	3.7	7
4	5.7	2
5	3.7	6
4	3.7	6
4	3.7	7
3	2.7	5
4	3.7	5
4	3.7	6
4	4.7	6
4	1.7	7
4	4.7	5
4	3.7	3
4	3.7	7
5	4.7	7
5	3.7	4
3	3.7	6
4	3.7	11
4	3.7	6
2	3.7	6
4	4.7	5
4	3.7	6
4	5.7	6
3	3.7	2
4	2.7	6
4	3.7	8
4	4.7	7
5	3.7	11
4	2.7	6
4	2.7	6
5	4.7	11
3	3.7	6
5	3.7	8
4	2.7	6
5	3.7	6
4	3.7	6
4	3.7	7
4	3.7	11
