X1	X2	Y
4	3.7	6
4	3.7	5
4	3.7	5
3	3.7	6
4	2.7	3
4	4.7	9
5	4.7	8
5	4.7	7
3	3.7	1
4	4.7	5
4	4.7	6
4	3.7	6
4	3.7	6
4	3.7	8
4	3.7	9
4	3.7	9
4	4.7	8
4	3.7	7
7	2.7	7
4	4.7	4
4	3.7	6
4	3.7	3
4	3.7	6
4	2.7	8
4	3.7	3
4	3.7	7
3	3.7	4
5	2.7	6
5	3.7	5
4	3.7	8
5	4.7	6
4	2.7	6
4	3.7	6
3	3.7	2
4	3.7	7
4	3.7	6
4	3.7	8
5	4.7	8
6	3.7	6
4	3.7	5
3	3.7	6
5	2.7	6
4	3.7	3
4	5.7	9
4	4.7	6
4	3.7	6
4	4.7	7
5	3.7	5
4	3.7	8
6	4.7	7
3	3.7	6
4	3.7	6
4	3.7	6
3	3.7	6
4	3.7	8
4	3.7	6
4	3.7	6
6	3.7	10
6	3.7	6
5	2.7	6
4	4.7	6
3	3.7	5
4	4.7	9
4	3.7	6
3	3.7	3
5	2.7	4
4	4.7	6
4	3.7	6
